inFile:unsortedSalmonLogsMetaData.tsv
sampleName	mappingRate	salmonOut	mapped	unmapped	d	u	m1	m2	m12	index	mate1	mate2
kras.ipsc/data/bulk.data/day.5/ctrl.3	91.4322	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	30362935	2441422	1196080	1106803	84872	53667	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/ctrl.3/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/ctrl.3/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/ctrl.3	90.9363	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.1	93.2117	locus.te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.1	93.2116	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.1	91.7434	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	29272855	2244687	1075596	1052993	73732	42366	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/kras.1/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/kras.1/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.1	90.3447	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.2	93.7694	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.2	93.7694	locus.te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.2	92.4118	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	22462074	1629348	740926	774214	69566	44642	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/kras.2/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/kras.2/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.2	91.5807	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.3	93.321	locus.te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.3	93.3209	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.3	91.9277	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	24115946	1787045	824082	895751	45918	21294	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/kras.3/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/kras.3/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/kras.3	90.7562	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.1	94.2674	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.1	94.2674	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.1	92.9677	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	45399895	2993655	1425994	1383349	121557	62755	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/ctrl.1/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/ctrl.1/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.1	89.2363	te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.32.te.cons.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.2	93.8552	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.2	93.8551	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.2	92.5483	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	45108372	3084733	1494260	1461800	89020	39653	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/ctrl.2/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/ctrl.2/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.2	89.2833	te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.32.te.cons.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.3	94.0792	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.3	94.0791	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.3	94.0791	locus.te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.3	92.9733	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	23621730	1515042	713463	730475	44325	26779	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/ctrl.3/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/ctrl.3/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/ctrl.3	90.7633	te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.32.te.cons.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.1	94.0272	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.1	94.0272	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.1	94.0272	locus.te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.1	92.7248	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	22171664	1527603	679668	739755	68556	39624	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/kras.1/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/kras.1/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.1	88.719	te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.32.te.cons.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.2	95.1761	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.2	95.1761	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.2	95.176	locus.te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.2	94.1123	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	26395547	1456541	674530	707419	47980	26612	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/kras.2/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/kras.2/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.2	91.808	te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.32.te.cons.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.3	94.3679	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.3	94.3679	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.3	94.3679	locus.te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.3	93.1134	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	44807046	2907571	1346198	1388642	111220	61511	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/kras.3/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.7/kras.3/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.7/kras.3	90.2113	te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.32.te.cons.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.1	76.838	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.1	68.8755	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	4071915	1340994	519916	747447	39097	34534	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.1/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.1/output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.1	50.0961	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.1	37.5851	quantFiles	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.v31.k.31.v.0.14.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.2	84.371	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.2	77.1363	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	3005610	767249	328236	358958	41511	38544	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.2/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.2/output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.2	51.6279	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.2	41.6824	quantFiles	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.v31.k.31.v.0.14.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.3	78.0989	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.3	70.2634	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	3212061	1018753	441263	513894	33924	29672	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.3/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.3/output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.3	48.7474	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/ctrl.3	38.0089	quantFiles	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.v31.k.31.v.0.14.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.1	83.8831	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.1	78.014	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	5489418	1362545	505278	701627	80073	75567	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.1/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.1/output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.1	51.3676	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.1	44.7203	quantFiles	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.v31.k.31.v.0.14.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.2	77.987	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.2	69.225	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	5184610	1720348	682591	912971	66315	58471	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.2/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.2/output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.2	52.0898	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.2	39.3892	quantFiles	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.v31.k.31.v.0.14.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.3	75.0142	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.3	66.0221	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	5589889	2012783	784908	1114417	60547	52911	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.3/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.3/output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.3	50.7606	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/exo.data/gen1c.day.5.exo.input.data/kras.3	36.8215	quantFiles	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/gen.v31.k.31.v.0.14.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
